protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
Q04728	YMR062C	ARG7	2.3.1.35	"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial (Extracellular mutant protein 40) [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]"	ARG7 ECM40 YMR062C YM9916.01C	441	818.4419556	1149.754203	1061.55161	3714.307614	4025.7852	4320.393968	871.9080429	1202.449363	1004.37113
Q04869	YMR315W	YMR315w		Uncharacterized protein YMR315W	YMR315W YM9924.07	349	1388	1818	1863	1278	2153	1568	747	1602	1637
Q04947	YDR233C	RTN1		Reticulon-like protein 1	RTN1 YDR233C	295	5218.691747	4918.235349	8048.777269	4563.830611	5362.194584	6775.991681	4891.796248	5019.220174	4514.854045
Q05016	YMR226C	YMR226c	1.-.-.-	Uncharacterized oxidoreductase YMR226C (EC 1.-.-.-)	YMR226C YM9959.08C	267	5310.898345	5988.686752	5554.733618	5747.11686	6042.059934	6192.663376	5182.797583	5139.783655	3917.15694
Q05359	YAR002C-A	ERP1		Protein ERP1	ERP1 YAR002C-A YAR002A	219	4232	5362	4623	3575	4086	4405	4459	5668	5473
Q05506	YDR341C	YDR341c	6.1.1.19	"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"	YDR341C D9651.10	607	3591.222725	3978.89057	3555.532242	3630.089772	4432.118094	4404.780807	2672.240754	3748.947223	3229.522779
Q05515	YDR346C	SVF1		Survival factor 1	SVF1 SGI1 YDR346C	481	1862.772103	2275.584202	1875.663569	1451.684144	1765.013259	1817.818472	1572.624871	1954.913942	1735.972487
Q05905	YLR301W	YLR301w		Protein HRI1 (HRR25-interacting protein 1)	HRI1 YLR301W	244	5969.410151	5833.291942	4650.521101	5103.312816	5741.1499	5246.2002	4218.372664	6013.493317	5105.81039
Q06252	YLR179C	YLR179c		Uncharacterized protein YLR179C	YLR179C L9470.20	201	5903.851277	5506.949955	5015.352628	6298.029394	6773.404523	6012.57951	4587.889586	5240.835653	4560.857316
Q07505	YDL086W	YDL086w	3.1.1.45	Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH)	YDL086W	273	3117	2556	2310	2933	3819	2972	1868	2846	2041
Q07551	YDL124W	YDL124w	1.2.1.-	NADPH-dependent alpha-keto amide reductase (AKR-E) (EC 1.2.1.-) (YKAR)	YDL124W D2240	312	5977.118984	6114.966787	7511.391624	3944.400992	3947.213966	4748.41229	5330.99411	5928.063052	4405.104171
Q08245	YOL109W	ZEO1		Protein ZEO1 (Zeocin resistance protein 1)	ZEO1 YOL109W O0738	113	3909.512502	3703.286108	3556.343347	5459.499977	4019.615529	4318.268171	3899.538306	5984.867334	4741.210816
Q08412	YOR042W	CUE5		Ubiquitin-binding protein CUE5 (Coupling of ubiquitin conjugation to ER degradation protein 5)	CUE5 YOR042W	411	1417	1624	1541	704	1200	1179	846	1481	949
Q08971	YPL225W	YPL225w		Protein PBDC1 homolog	YPL225W	146	1513	1986	3583	2586	1802	2693	2229	1838	1782
Q08972	YPL226W	NEW1		[NU+] prion formation protein 1	NEW1 YPL226W P1445	1196	1611	1746	1718	1182	1385	1216	978	1321	1572
Q12074	YPR069C	SPE3	2.5.1.16	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SPE3 YPR069C YP9499.24C	293	10688.14334	12754.04857	10429.10763	4594.99728	6500.817487	6350.161415	6199.662894	11504.54041	7881.618171
Q12109	YOL097C	WRS1	6.1.1.2	"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)"	WRS1 YOL097C HRE432	432	3214	4091	3643	2815	2768	3124	2935	3492	2764
Q12122	YDL131W	LYS21	2.3.3.14	"Homocitrate synthase, mitochondrial (EC 2.3.3.14)"	LYS21 YDL131W D2195	440	3561.435806	3698.422502	3474.181918	6725.614619	7558.628447	6720.187051	3041.59662	4075.078281	3618.344787
Q12154	YDL100C	GET3	3.6.-.-	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	GET3 ARR4 YDL100C D2371	354	2284	2036	1789	1443	1691	2091	1504	1957	1779
Q12159	YDR381W	YRA1		RNA annealing protein YRA1	YRA1 YDR381W D9481.2 D9509.1	226	6845.384085	6946.569317	5807.418281	3149.050443	3575.90588	3510.778117	4378.208544	5128.962203	4320.352
Q12178	YPR062W	FCY1	3.5.4.1	Cytosine deaminase (EC 3.5.4.1) (Cytosine aminohydrolase)	FCY1 YPR062W YP9499.17	158	2965	3312	2979	3353	3628	3251	3347	3112	2535
Q12213	YPL198W	RPL7b		60S ribosomal protein L7-B (L6) (RP11) (YL8)	RPL7B RPL6B YL8B YPL198W	244	7118	8524	11789	8497	9057	13919	5282	6520	7729
Q12230	YPL004C	LSP1		Sphingolipid long chain base-responsive protein LSP1	LSP1 YPL004C	341	2795.763603	2758.91408	3038.654969	2202.43813	2252.413928	2559.395028	2309.128042	2560.216481	1922.109141
Q12305	YOR285W	RDL1	2.8.1.1	"Thiosulfate sulfurtransferase RDL1, mitochondrial (EC 2.8.1.1) (Rhodanese-like protein 1)"	RDL1 YOR285W	139	779	991	1058	1270	1737	1237	506	1030	1020
Q12306	YDR510W	SMT3		Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	101	2760	3165	2258	2518	1809	2231	2809	2651	1948
Q12363	YOR230W	WTM1		Transcriptional modulator WTM1	WTM1 YOR230W YOR50-20	437	4690.734513	5384.809409	4953.084036	7884.534948	9187.820335	7936.869742	4637.40261	5989.817399	4485.010848
Q12402	YPR028W	YOP1		Protein YOP1 (YIP1 partner protein 1) (YPT-interacting protein 2)	YOP1 YIP2 YPR028W YP9367.08	180	3161	2535	5208	2456	2414	2818	3261	2043	1556
Q12447	YDR071C	PAA1	2.3.1.-	Polyamine N-acetyltransferase 1 (EC 2.3.1.-) (Arylalkylamine N-acetyltransferase homolog) (scAANAT)	PAA1 YDR071C	191	5770	7204	7511	5768	7554	7132	3717	6770	5805
Q12449	YDR214W	AHA1		Hsp90 co-chaperone AHA1 (Activator of Hsp90 ATPase protein 1)	AHA1 YDR214W YD8142.16 YD8142B.06	350	2003.149021	2115.827734	2019.494244	1440.408275	1854.378602	1569.411992	1741.826627	2278.499506	1720.669347
Q12458	YDR368W	YPR1	1.1.1.-	Putative reductase 1 (EC 1.1.1.-)	YPR1 YDR368W D9481.8	312	4050	3702	3094	5466	4571	3430	4959	3625	3094
Q12460	YLR197W	NOP56		Nucleolar protein 56 (Ribosome biosynthesis protein SIK1) (Suppressor of I kappa b protein 1)	NOP56 SIK1 YLR197W L8167.9	504	5066.558321	6252.55193	5828.630846	2824.889402	3538.980881	4133.737365	3478.304474	5179.720228	4275.640146
Q12499	YOR310C	NOP58		Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOP5 YOR310C O6108	511	6511.079172	6844.73727	6265.621701	3288.298515	4397.78944	4169.102435	4133.923781	6003.105968	4615.873368
Q12512	YOL154W	ZPS1		Protein ZPS1	ZPS1 YOL154W AOB249	249	43480	32282	36629	2986	3965	2469	46209	40095	30027
Q3E764	YLR262C-A	TMA7		Translation machinery-associated protein 7	TMA7 YLR262C-A	64	9879	9725	9073	9336	9358	7726	9615	10403	9794
